YEAR,MONTH,DATE,HOUR,MIN,PREDICTED,ACTUAL,ERROR,ERROR_RUN_SUM
2014,11,17,12,0,,0.02823,,
2014,11,17,13,0,,0.02716,,
2014,11,17,14,0,,0.02722,,
2014,11,17,15,0,,0.02748,,
2014,11,17,16,0,,0.0348,,
2014,11,17,17,0,,0.03545,,
2014,11,17,18,0,,0.03293,,
2014,11,17,19,0,,0.03181,,
2014,11,17,20,0,,0.03146,,
2014,11,17,21,0,,0.0281,,
2014,11,17,22,0,,0.02663,,
2014,11,17,23,0,,0.02261,,
2014,11,18,0,0,,0.02237,,
2014,11,18,1,0,,0.02123,,
2014,11,18,2,0,,0.02127,,
2014,11,18,3,0,,0.02122,,
2014,11,18,4,0,,0.02065,,
2014,11,18,5,0,,0.02573,,
2014,11,18,6,0,,0.03046,,
2014,11,18,7,0,,0.03282,,
2014,11,18,8,0,,0.03342,,
2014,11,18,9,0,,0.03326,,
2014,11,18,10,0,,0.03198,,
2014,11,18,11,0,,0.03072,,
2014,11,18,12,0,,0.02946,,
2014,11,18,13,0,,0.02878,,
2014,11,18,14,0,,0.02831,,
2014,11,18,15,0,,0.02915,,
2014,11,18,16,0,,0.03922,,
2014,11,18,17,0,,0.03834,,
2014,11,18,18,0,,0.03521,,
2014,11,18,19,0,,0.03478,,
2014,11,18,20,0,,0.03233,,
2014,11,18,21,0,,0.02763,,
2014,11,18,22,0,,0.02576,,
2014,11,18,23,0,,0.02554,,
2014,11,19,0,0,,0.02459,,
2014,11,19,1,0,,0.02386,,
2014,11,19,2,0,,0.02349,,
2014,11,19,3,0,,0.024,,
2014,11,19,4,0,,0.02447,,
2014,11,19,5,0,,0.02648,,
2014,11,19,6,0,,0.03249,,
2014,11,19,7,0,,0.03435,,
2014,11,19,8,0,,0.03455,,
2014,11,19,9,0,,0.03374,,
2014,11,19,10,0,,0.03239,,
2014,11,19,11,0,,0.03098,,
2014,11,19,12,0,,0.03019,,
2014,11,19,13,0,,0.02932,,
2014,11,19,14,0,,0.02875,,
2014,11,19,15,0,,0.02921,,
2014,11,19,16,0,,0.03591,,
2014,11,19,17,0,,0.03791,,
2014,11,19,18,0,,0.03513,,
2014,11,19,19,0,,0.0331,,
2014,11,19,20,0,,0.03158,,
2014,11,19,21,0,,0.0293,,
2014,11,19,22,0,,0.02658,,
2014,11,19,23,0,,0.02609,,
2014,11,20,0,0,,0.02522,,
2014,11,20,1,0,,0.02446,,
2014,11,20,2,0,,0.02359,,
2014,11,20,3,0,,0.02342,,
2014,11,20,4,0,,0.02338,,
2014,11,20,5,0,,0.02572,,
2014,11,20,6,0,,0.02721,,
2014,11,20,7,0,,0.02873,,
2014,11,20,8,0,,0.03057,,
2014,11,20,9,0,,0.0318,,
2014,11,20,10,0,,0.03051,,
2014,11,20,11,0,,0.02993,,
2014,11,20,12,0,,0.02922,,
2014,11,20,13,0,,0.0284,,
2014,11,20,14,0,,0.02772,,
2014,11,20,15,0,,0.02874,,
2014,11,20,16,0,,0.03403,,
2014,11,20,17,0,,0.03604,,
2014,11,20,18,0,,0.0331,,
2014,11,20,19,0,,0.03212,,
2014,11,20,20,0,,0.03034,,
2014,11,20,21,0,,0.02731,,
2014,11,20,22,0,,0.02626,,
2014,11,20,23,0,,0.0254,,
2014,11,21,0,0,,0.02467,,
2014,11,21,1,0,,0.02283,,
2014,11,21,2,0,,0.02284,,
2014,11,21,3,0,,0.02178,,
2014,11,21,4,0,,0.02264,,
2014,11,21,5,0,,0.02328,,
2014,11,21,6,0,,0.02517,,
2014,11,21,7,0,,0.02629,,
2014,11,21,8,0,,0.02748,,
2014,11,21,9,0,,0.02681,,
2014,11,21,10,0,,0.02637,,
2014,11,21,11,0,,0.02652,,
2014,11,21,12,0,,0.02591,,
2014,11,21,13,0,,0.02524,,
2014,11,21,14,0,,0.02482,,
2014,11,21,15,0,,0.02549,,
2014,11,21,16,0,,0.0291,,
2014,11,21,17,0,,0.03074,,
2014,11,21,18,0,,0.0299,,
2014,11,21,19,0,,0.02866,,
2014,11,21,20,0,,0.02755,,
2014,11,21,21,0,,0.02519,,
2014,11,21,22,0,,0.0235,,
2014,11,21,23,0,,0.02331,,
2014,11,22,0,0,,0.02136,,
2014,11,22,1,0,,0.02094,,
2014,11,22,2,0,,0.02119,,
2014,11,22,3,0,,0.02117,,
2014,11,22,4,0,,0.02096,,
2014,11,22,5,0,,0.023,,
2014,11,22,6,0,,0.02503,,
2014,11,22,7,0,,0.02734,,
2014,11,22,8,0,,0.02738,,
2014,11,22,9,0,,0.02709,,
2014,11,22,10,0,,0.02794,,
2014,11,22,11,0,,0.02692,,
2014,11,22,12,0,,0.02658,,
2014,11,22,13,0,,0.02636,,
2014,11,22,14,0,,0.02618,,
2014,11,22,15,0,,0.026,,
2014,11,22,16,0,,0.03073,,
2014,11,22,17,0,,0.03193,,
2014,11,22,18,0,,0.02976,,
2014,11,22,19,0,,0.02921,,
2014,11,22,20,0,,0.02774,,
2014,11,22,21,0,,0.02548,,
2014,11,22,22,0,,0.02367,,
2014,11,22,23,0,,0.02291,,
2014,11,23,0,0,,0.02139,,
2014,11,23,1,0,,0.0206,,
2014,11,23,2,0,,0.01994,,
